Index	Moves	Version	MoveID	CanUseMove	Type	Quality	Category	Power	Accuracy	PP	Priority	HitMin	HitMax	Inflict	InflictPercent	RawInflictCount	TurnMin	TurnMax	CritStage	Flinch	EffectSequence	Recoil	RawHealing	RawTarget	Stat1	Stat2	Stat3	Stat1Stage	Stat2Stage	Stat3Stage	Stat1Percent	Stat2Percent	Stat3Percent	GigantimaxPower	Flag_MakesContact	Flag_Charge	Flag_Recharge	Flag_Protect	Flag_Reflectable	Flag_Snatch	Flag_Mirror	Flag_Punch	Flag_Sound	Flag_Gravity	Flag_Defrost	Flag_DistanceTriple	Flag_Heal	Flag_IgnoreSubstitute	Flag_FailSkyBattle	Flag_AnimateAlly	Flag_Dance	Flag_18	InflictCount	Healing	Target
12	Guillotine	5	12	True	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
13	Razor Wind	5	13	False	0	0	2	80	100	10	0	0	0	0	0	0	0	0	1	0	39	0	0	5	0	0	0	0	0	0	0	0	0	130	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
14	Swords Dance	5	14	True	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	50	0	0	7	1	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	True	None	None	Self
15	Cut	5	15	True	0	0	1	50	95	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
16	Gust	5	16	True	2	0	2	40	100	35	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
17	Wing Attack	5	17	True	2	0	1	60	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
18	Whirlwind	5	18	True	0	12	0	0	101	20	250	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	False	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
19	Fly	5	19	True	2	0	1	90	95	15	0	0	0	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	0	0	130	True	True	False	True	False	False	True	False	False	True	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
20	Bind	5	20	True	0	4	1	15	85	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
21	Slam	5	21	True	0	0	1	80	75	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
22	Vine Whip	5	22	True	11	0	1	45	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
23	Stomp	5	23	True	0	0	1	65	100	20	0	0	0	0	0	0	0	0	0	30	150	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
24	Double Kick	5	24	True	1	0	1	30	100	30	0	2	2	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
25	Mega Kick	5	25	True	0	0	1	120	75	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
26	Jump Kick	5	26	False	1	0	1	100	95	10	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
27	Rolling Kick	5	27	False	1	0	1	60	85	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	80	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
28	Sand Attack	5	28	True	4	2	0	0	100	15	0	0	0	0	0	0	0	0	0	0	23	0	0	0	6	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
29	Headbutt	5	29	True	0	0	1	70	100	15	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
30	Horn Attack	5	30	True	0	0	1	65	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
31	Fury Attack	5	31	True	0	0	1	15	85	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
32	Horn Drill	5	32	True	0	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
33	Tackle	5	33	True	0	0	1	40	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
34	Body Slam	5	34	True	0	4	1	85	100	15	0	0	0	1	30	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	Permanent	None	AnyExceptSelf
35	Wrap	5	35	True	0	4	1	15	90	20	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
36	Take Down	5	36	True	0	0	1	90	85	20	0	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
37	Thrash	5	37	True	0	0	1	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	RandomOpponent
38	Double-Edge	5	38	True	0	0	1	120	100	15	0	0	0	0	0	0	0	0	0	0	198	223	0	0	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
39	Tail Whip	5	39	True	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
40	Poison Sting	5	40	True	3	4	1	15	100	35	0	0	0	5	30	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
41	Twineedle	5	41	False	6	4	1	25	100	20	0	2	2	5	20	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
42	Pin Missile	5	42	True	6	0	1	25	95	20	0	5	2	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
43	Leer	5	43	True	0	2	0	0	100	30	0	0	0	0	0	0	0	0	0	0	19	0	0	5	2	0	0	255	0	0	100	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
44	Bite	5	44	True	16	0	1	60	100	25	0	0	0	0	0	0	0	0	0	30	31	0	0	0	0	0	0	0	0	0	0	0	0	110	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
45	Growl	5	45	True	0	2	0	0	100	40	0	0	0	0	0	0	0	0	0	0	18	0	0	5	1	0	0	255	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	None	None	AllAdjacentOpponents
46	Roar	5	46	True	0	12	0	0	101	20	250	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	False	True	False	True	False	True	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
47	Sing	5	47	True	0	1	0	0	55	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
48	Supersonic	5	48	True	0	1	0	0	55	20	0	0	0	6	0	2	2	5	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
49	Sonic Boom	5	49	False	0	0	2	1	90	20	0	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
50	Disable	5	50	True	0	13	0	0	100	20	0	0	0	13	0	2	4	4	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
51	Acid	5	51	True	3	6	2	40	100	30	0	0	0	0	0	0	0	0	0	0	72	0	0	5	4	0	0	255	0	0	10	0	0	70	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
52	Ember	5	52	True	9	4	2	40	100	25	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
53	Flamethrower	5	53	True	9	4	2	90	100	15	0	0	0	4	10	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
54	Mist	5	54	True	14	11	0	0	101	30	0	0	0	0	0	0	0	0	0	0	46	0	0	12	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	SideSelf
55	Water Gun	5	55	True	10	0	2	40	100	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
56	Hydro Pump	5	56	True	10	0	2	110	80	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
57	Surf	5	57	True	10	0	2	90	100	15	0	0	0	0	0	0	0	0	0	0	257	0	0	4	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AllAdjacent
58	Ice Beam	5	58	True	14	4	2	90	100	10	0	0	0	3	10	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
59	Blizzard	5	59	True	14	4	2	110	70	5	0	0	0	3	10	1	0	0	0	0	260	0	0	5	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AllAdjacentOpponents
60	Psybeam	5	60	True	13	4	2	65	100	20	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
61	Bubble Beam	5	61	True	10	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	70	0	0	0	5	0	0	255	0	0	10	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
62	Aurora Beam	5	62	True	14	6	2	65	100	20	0	0	0	0	0	0	0	0	0	0	68	0	0	0	1	0	0	255	0	0	10	0	0	120	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
63	Hyper Beam	5	63	True	0	0	2	150	90	5	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	150	False	False	True	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
64	Peck	5	64	True	2	0	1	35	100	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
65	Drill Peck	5	65	True	2	0	1	80	100	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	False	True	None	None	AnyExceptSelf
66	Submission	5	66	True	1	0	1	80	80	20	0	0	0	0	0	0	0	0	0	0	48	231	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
67	Low Kick	5	67	True	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	100	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
68	Counter	5	68	True	1	0	1	1	100	20	251	0	0	0	0	0	0	0	0	0	89	0	0	13	0	0	0	0	0	0	0	0	0	75	True	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	None	None	Counter
69	Seismic Toss	5	69	True	1	0	1	1	100	20	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	75	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
70	Strength	5	70	True	0	0	1	80	100	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
71	Absorb	5	71	True	11	8	2	20	100	25	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
72	Mega Drain	5	72	True	11	8	2	40	100	15	0	0	0	0	0	0	0	0	0	0	3	50	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	True	False	False	False	False	True	None	None	AnyExceptSelf
73	Leech Seed	5	73	True	11	1	0	0	90	10	0	0	0	18	0	1	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
74	Growth	5	74	True	0	2	0	0	101	20	0	0	0	0	0	0	0	0	0	0	316	0	0	7	1	3	0	1	1	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
75	Razor Leaf	5	75	True	11	0	1	55	95	25	0	0	0	0	0	0	0	0	1	0	43	0	0	5	0	0	0	0	0	0	0	0	0	110	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
76	Solar Beam	5	76	True	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	0	0	0	0	0	0	140	False	True	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
77	Poison Powder	5	77	True	3	1	0	0	75	35	0	0	0	5	0	1	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
78	Stun Spore	5	78	True	11	1	0	0	75	30	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
79	Sleep Powder	5	79	True	11	1	0	0	75	15	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
80	Petal Dance	5	80	True	11	0	2	120	100	10	0	0	0	0	0	0	0	0	0	0	27	0	0	9	0	0	0	0	0	0	0	0	0	140	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	True	True	None	None	RandomOpponent
81	String Shot	5	81	True	6	2	0	0	95	40	0	0	0	0	0	0	0	0	0	0	60	0	0	5	5	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AllAdjacentOpponents
82	Dragon Rage	5	82	False	15	0	2	1	100	10	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
83	Fire Spin	5	83	True	9	4	2	35	85	15	0	0	0	8	100	4	5	6	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountNoSwitch	None	AnyExceptSelf
84	Thunder Shock	5	84	True	12	4	2	40	100	30	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	90	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
85	Thunderbolt	5	85	True	12	4	2	90	100	15	0	0	0	1	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
86	Thunder Wave	5	86	True	12	1	0	0	90	20	0	0	0	1	0	1	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
87	Thunder	5	87	True	12	4	2	110	70	10	0	0	0	1	30	1	0	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0	0	140	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
88	Rock Throw	5	88	True	5	0	1	50	90	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
89	Earthquake	5	89	True	4	0	1	100	100	10	0	0	0	0	0	0	0	0	0	0	147	0	0	4	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AllAdjacent
90	Fissure	5	90	True	4	9	1	1	30	5	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
91	Dig	5	91	True	4	0	1	80	100	10	0	0	0	0	0	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0	0	0	0	130	True	True	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	True	None	None	AnyExceptSelf
92	Toxic	5	92	True	3	1	0	0	90	10	0	0	0	5	0	1	15	15	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	Permanent	None	AnyExceptSelf
93	Confusion	5	93	True	13	4	2	50	100	25	0	0	0	6	10	2	2	5	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
94	Psychic	5	94	True	13	6	2	90	100	10	0	0	0	0	0	0	0	0	0	0	72	0	0	0	4	0	0	255	0	0	10	0	0	130	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
95	Hypnosis	5	95	True	13	1	0	0	60	20	0	0	0	2	0	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	True	False	True	False	False	False	False	False	False	False	False	False	False	True	TurnCountSwitch	None	AnyExceptSelf
96	Meditate	5	96	False	13	2	0	0	101	40	0	0	0	0	0	0	0	0	0	0	10	0	0	7	1	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
97	Agility	5	97	True	13	2	0	0	101	30	0	0	0	0	0	0	0	0	0	0	52	0	0	7	5	0	0	2	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
98	Quick Attack	5	98	True	0	0	1	40	100	30	1	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
99	Rage	5	99	False	0	0	1	20	100	20	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	90	True	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
100	Teleport	5	100	True	13	13	0	0	101	20	250	0	0	0	0	0	0	0	0	0	153	0	0	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
101	Night Shade	5	101	True	7	0	2	1	100	15	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	100	False	False	False	True	False	False	True	False	False	False	False	False	False	False	False	False	False	True	None	None	AnyExceptSelf
102	Mimic	5	102	True	0	13	0	0	101	10	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	False	False	False	True	False	False	False	False	False	False	False	False	False	True	False	True	False	False	None	None	AnyExceptSelf
103	Screech	5	103	True	0	2	0	0	85	40	0	0	0	0	0	0	0	0	0	0	59	0	0	0	2	0	0	254	0	0	0	0	0	0	False	False	False	True	True	False	True	False	True	False	False	False	False	True	False	True	False	True	None	None	AnyExceptSelf
104	Double Team	5	104	True	0	2	0	0	101	15	0	0	0	0	0	0	0	0	0	0	16	0	0	7	7	0	0	1	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	None	None	Self
105	Recover	5	105	True	0	3	0	0	101	10	0	0	0	0	0	0	0	0	0	0	32	0	50	7	0	0	0	0	0	0	0	0	0	0	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	False	True	None	50	Self
