010	Scratch	Charmander, Charmeleon, Charizard, Diglett-0, Dugtrio-0, Meowth-0, Meowth-1, Meowth-2, Persian-0, Persian-1, Sneasel, Nincada, Ninjask, Shedinja, Sableye, Stunky, Skuntank, Weavile, Purrloin, Liepard, Drilbur, Excadrill, Axew, Fraxure, Haxorus, Pawniard, Bisharp, Espurr, Meowstic-0, Meowstic-1, Binacle, Barbaracle, Litten, Torracat, Incineroar, Salandit, Salazzle, Mimikyu-0, Mimikyu-1, Zeraora, Grookey, Thwackey, Rillaboom, Perrserker
011	Vise Grip	Klink, Klang, Klinklang, Durant, Grubbin, Charjabug, Vikavolt
012	Guillotine	Krabby, Kingler, Corphish, Crawdaunt, Axew, Fraxure, Haxorus, Pawniard, Bisharp, Durant, Vikavolt
013	Razor Wind	
014	Swords Dance	Bulbasaur, Ivysaur, Venusaur, Charmander, Charmeleon, Charizard, Oddish, Gloom, Vileplume, Meowth-2, Rapidash-0, Rapidash-1, Farfetch’d-0, Farfetch’d-1, Krabby, Kingler, Rhyhorn, Rhydon, Goldeen, Seaking, Mew, Bellossom, Qwilfish, Sneasel, Celebi, Lotad, Lombre, Ludicolo, Seedot, Nuzleaf, Shiftry, Ninjask, Mawile, Roselia, Solrock, Corphish, Crawdaunt, Budew, Roserade, Cherubi, Cherrim-0, Cherrim-1, Riolu, Lucario, Skorupi, Drapion, Toxicroak, Snover, Abomasnow, Weavile, Rhyperior, Leafeon, Gallade, Drilbur, Excadrill, Dwebble, Crustle, Karrablast, Escavalier, Ferrothorn, Axew, Fraxure, Haxorus, Beartic, Pawniard, Bisharp, Cobalion, Terrakion, Virizion, Keldeo-0, Keldeo-1, Bunnelby, Diggersby, Pancham, Pangoro, Honedge, Doublade, Aegislash-0, Aegislash-1, Binacle, Barbaracle, Hawlucha, Rowlet, Dartrix, Decidueye, Litten, Torracat, Incineroar, Stufful, Bewear, Golisopod, Type: Null, Silvally-0, Silvally-1, Silvally-2, Silvally-3, Silvally-4, Silvally-5, Silvally-6, Silvally-7, Silvally-8, Silvally-9, Silvally-10, Silvally-11, Silvally-12, Silvally-13, Silvally-14, Silvally-15, Silvally-16, Silvally-17, Mimikyu-0, Mimikyu-1, Dhelmise, Jangmo-o, Hakamo-o, Kommo-o, Necrozma-0, Necrozma-1, Necrozma-2, Grookey, Thwackey, Rillaboom, Inteleon, Greedent, Dubwool, Drednaw, Hatterene, Perrserker, Sirfetch’d, Falinks, Duraludon, Zacian-0, Zacian-1
015	Cut	Farfetch’d-0
016	Gust	Butterfree, Farfetch’d-0, Wingull, Nincada, Trapinch, Combee, Vespiquen, Drifloon, Drifblim, Pidove, Tranquill, Unfezant, Woobat, Swoobat, Whimsicott, Sigilyph, Vullaby, Mandibuzz, Noibat, Noivern
017	Wing Attack	Charmander, Hoothoot, Mantine, Wingull, Pelipper, Mantyke, Rufflet, Braviary, Hawlucha, Noibat, Noivern, Flapple
018	Whirlwind	Butterfree, Hoothoot, Shiftry, Hippopotas, Skorupi, Sigilyph, Rufflet, Braviary, Vullaby, Mandibuzz, Noibat, Noivern, Cufant
019	Fly	Charizard, Farfetch’d-0, Mew, Hoothoot, Noctowl, Togetic, Xatu, Delibird, Wingull, Pelipper, Vibrava, Flygon, Drifblim, Togekiss, Pidove, Tranquill, Unfezant, Woobat, Swoobat, Sigilyph, Golurk, Rufflet, Braviary, Vullaby, Mandibuzz, Hydreigon, Reshiram, Zekrom, Kyurem-0, Kyurem-1, Kyurem-2, Hawlucha, Noibat, Noivern, Vikavolt, Drampa, Lunala, Rookidee, Corvisquire, Corviknight, Flapple, Cramorant-0, Cramorant-1, Cramorant-2, Dragapult, Eternatus-0, Eternatus-1
020	Bind	Onix, Steelix, Dusclops, Dusknoir, Throh, Klink, Klang, Klinklang, Stunfisk-1, Heatmor, Bewear, Sobble, Drizzile, Inteleon, Clobbopus, Grapploct
021	Slam	Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Farfetch’d-1, Onix, Krabby, Kingler, Sudowoodo, Wooper, Quagsire, Steelix, Mantine, Mawile, Mantyke, Timburr, Gurdurr, Conkeldurr, Yamask-1, Minccino, Cinccino, Deino, Zweilous, Hydreigon, Dhelmise, Grookey, Thwackey, Rillaboom, Silicobra, Sandaconda, Sizzlipede, Centiskorch, Sirfetch’d, Runerigus, Cufant, Dracozolt, Arctozolt
022	Vine Whip	Bulbasaur, Ivysaur, Venusaur
023	Stomp	Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Krabby, Kingler, Rhyhorn, Rhydon, Larvitar, Snover, Rhyperior, Mudbray, Mudsdale, Stufful, Steenee, Tsareena, Wooloo, Appletun, Stonjourner, Cufant, Copperajah, Dracozolt, Dracovish
024	Double Kick	Growlithe, Ponyta-0, Ponyta-1, Hitmonlee, Mr. Mime-1, Eevee, Jolteon, Wooper, Sawk, Cobalion, Terrakion, Virizion, Keldeo-0, Keldeo-1, Bunnelby, Diggersby, Litten, Torracat, Incineroar, Mudbray, Mudsdale, Scorbunny, Raboot, Cinderace, Wooloo, Dubwool, Mr. Rime
025	Mega Kick	Charmander, Charmeleon, Charizard, Squirtle, Wartortle, Blastoise, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Clefairy, Clefable, Machop, Machoke, Machamp, Gengar, Hitmonlee, Hitmonchan, Rhydon, Mr. Mime-0, Mr. Mime-1, Snorlax, Mewtwo, Mew, Pichu, Cleffa, Togepi, Togetic, Sudowoodo, Quagsire, Sneasel, Delibird, Tyrogue, Hitmontop, Tyranitar, Lombre, Ludicolo, Nuzleaf, Shiftry, Ralts, Kirlia, Gardevoir, Sableye, Mawile, Flygon, Dusclops, Jirachi, Munchlax, Riolu, Lucario, Croagunk, Toxicroak, Abomasnow, Weavile, Rhyperior, Togekiss, Gallade, Dusknoir, Timburr, Gurdurr, Conkeldurr, Seismitoad, Throh, Sawk, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Scraggy, Scrafty, Cubchoo, Beartic, Golett, Golurk, Diggersby, Pancham, Pangoro, Heliolisk, Hawlucha, Goodra, Incineroar, Mudbray, Mudsdale, Stufful, Bewear, Tsareena, Oranguru, Passimian, Turtonator, Hakamo-o, Kommo-o, Marshadow, Zeraora, Melmetal, Grookey, Thwackey, Rillaboom, Scorbunny, Raboot, Cinderace, Dubwool, Coalossal, Toxtricity-0, Toxtricity-1, Impidimp, Morgrem, Grimmsnarl, Obstagoon, Mr. Rime, Stonjourner, Cufant, Copperajah, Dracozolt, Arctozolt, Dracovish
026	Jump Kick	
027	Rolling Kick	
028	Sand Attack	Diglett-0, Diglett-1, Dugtrio-0, Dugtrio-1, Farfetch’d-0, Farfetch’d-1, Eevee, Vaporeon, Jolteon, Flareon, Espeon, Umbreon, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Nincada, Ninjask, Shedinja, Trapinch, Vibrava, Flygon, Hippopotas, Hippowdon, Skorupi, Leafeon, Glaceon, Purrloin, Liepard, Roggenrola, Boldore, Gigalith, Dwebble, Crustle, Scraggy, Scrafty, Trubbish, Durant, Binacle, Sylveon, Salandit, Wimpod, Golisopod, Scorbunny, Rookidee, Yamper, Silicobra, Sandaconda, Obstagoon, Sirfetch’d
029	Headbutt	Diglett-0, Diglett-1, Sudowoodo, Mantine, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Electrike, Snorunt, Glalie, Bonsly, Croagunk, Mantyke, Froslass, Roggenrola, Boldore, Gigalith, Basculin-0, Basculin-1, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Scraggy, Scrafty, Karrablast, Escavalier, Elgyem, Beheeyem, Pawniard, Deino, Zweilous, Hydreigon, Dewpider, Araquanid, Jangmo-o, Hakamo-o, Kommo-o, Meltan, Melmetal, Scorbunny, Raboot, Cinderace, Wooloo, Dubwool, Chewtle, Drednaw, Appletun, Silicobra, Sandaconda, Obstagoon, Falinks, Eiscue-0, Eiscue-1
030	Horn Attack	Rhyhorn, Rhydon, Goldeen, Seaking, Rhyperior
031	Fury Attack	Rookidee, Corvisquire, Corviknight, Cramorant-0, Cramorant-1, Cramorant-2, Arrokuda, Barraskewda, Pincurchin
032	Horn Drill	Ponyta-0, Ponyta-1, Rhyhorn, Rhydon, Goldeen, Seaking, Lapras, Rhyperior, Excadrill
033	Tackle	Bulbasaur, Ivysaur, Venusaur, Squirtle, Wartortle, Blastoise, Caterpie, Butterfree, Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Shellder, Cloyster, Onix, Hitmonlee, Hitmonchan, Koffing, Weezing-0, Weezing-1, Rhyhorn, Rhydon, Magikarp, Gyarados, Eevee, Vaporeon, Jolteon, Flareon, Snorlax, Hoothoot, Noctowl, Espeon, Umbreon, Steelix, Qwilfish, Swinub, Piloswine, Corsola-0, Corsola-1, Mantine, Tyrogue, Hitmontop, Larvitar, Pupitar, Tyranitar, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Seedot, Nuzleaf, Shiftry, Electrike, Manectric, Lunatone, Solrock, Feebas, Milotic, Cherubi, Cherrim-0, Cherrim-1, Bronzor, Bronzong, Munchlax, Hippopotas, Hippowdon, Mantyke, Rhyperior, Leafeon, Glaceon, Mamoswine, Roggenrola, Boldore, Gigalith, Basculin-0, Basculin-1, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Ferroseed, Ferrothorn, Stunfisk-0, Stunfisk-1, Heatmor, Deino, Zweilous, Hydreigon, Bunnelby, Diggersby, Pancham, Pangoro, Honedge, Doublade, Aegislash-0, Aegislash-1, Swirlix, Slurpuff, Inkay, Malamar, Sylveon, Hawlucha, Goomy, Sliggoo, Goodra, Phantump, Trevenant, Bergmite, Avalugg, Noibat, Noivern, Rowlet, Dartrix, Decidueye, Stufful, Bewear, Passimian, Type: Null, Silvally-0, Silvally-1, Silvally-2, Silvally-3, Silvally-4, Silvally-5, Silvally-6, Silvally-7, Silvally-8, Silvally-9, Silvally-10, Silvally-11, Silvally-12, Silvally-13, Silvally-14, Silvally-15, Silvally-16, Silvally-17, Turtonator, Togedemaru, Jangmo-o, Hakamo-o, Kommo-o, Scorbunny, Raboot, Cinderace, Skwovet, Greedent, Wooloo, Dubwool, Chewtle, Drednaw, Yamper, Boltund, Rolycoly, Carkol, Coalossal, Obstagoon, Cursola, Milcery, Alcremie-0, Alcremie-1, Alcremie-2, Alcremie-3, Alcremie-4, Alcremie-5, Alcremie-6, Alcremie-7, Alcremie-8, Falinks, Eiscue-0, Eiscue-1, Cufant, Copperajah, Dracozolt, Dracovish
034	Body Slam	Bulbasaur, Ivysaur, Venusaur, Charmander, Charmeleon, Charizard, Squirtle, Wartortle, Blastoise, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Clefairy, Clefable, Vulpix-0, Vulpix-1, Ninetales-0, Ninetales-1, Vileplume, Diglett-0, Diglett-1, Dugtrio-0, Dugtrio-1, Meowth-0, Meowth-1, Meowth-2, Persian-0, Persian-1, Growlithe, Arcanine, Machop, Machoke, Machamp, Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Farfetch’d-0, Farfetch’d-1, Gengar, Onix, Krabby, Kingler, Hitmonlee, Hitmonchan, Rhyhorn, Rhydon, Goldeen, Seaking, Mr. Mime-0, Mr. Mime-1, Gyarados, Lapras, Eevee, Vaporeon, Jolteon, Flareon, Snorlax, Mewtwo, Mew, Pichu, Cleffa, Togepi, Togetic, Sudowoodo, Wooper, Quagsire, Espeon, Umbreon, Steelix, Shuckle, Swinub, Piloswine, Corsola-0, Corsola-1, Delibird, Mantine, Tyrogue, Hitmontop, Larvitar, Pupitar, Tyranitar, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Lotad, Lombre, Ludicolo, Seedot, Nuzleaf, Shiftry, Ralts, Kirlia, Gardevoir, Sableye, Mawile, Electrike, Manectric, Roselia, Wailmer, Wailord, Torkoal, Trapinch, Vibrava, Flygon, Lunatone, Solrock, Corphish, Crawdaunt, Milotic, Duskull, Dusclops, Snorunt, Glalie, Jirachi, Roserade, Shellos-0, Shellos-1, Gastrodon-0, Gastrodon-1, Drifloon, Drifblim, Munchlax, Hippopotas, Hippowdon, Rhyperior, Togekiss, Leafeon, Glaceon, Mamoswine, Gallade, Dusknoir, Froslass, Throh, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Garbodor, Shelmet, Accelgor, Golurk, Heatmor, Deino, Zweilous, Hydreigon, Diggersby, Pancham, Pangoro, Sylveon, Goomy, Sliggoo, Goodra, Avalugg, Litten, Torracat, Incineroar, Mudbray, Mudsdale, Bewear, Turtonator, Melmetal, Rillaboom, Skwovet, Greedent, Corviknight, Dubwool, Chewtle, Drednaw, Coalossal, Appletun, Clobbopus, Grapploct, Grimmsnarl, Obstagoon, Perrserker, Cursola, Sirfetch’d, Mr. Rime, Stonjourner, Cufant, Copperajah, Dracozolt, Arctozolt, Dracovish, Arctovish, Duraludon, Dragapult
035	Wrap	Shuckle, Octillery, Milotic, Inkay, Malamar, Dhelmise, Silicobra, Sandaconda, Sizzlipede, Centiskorch
036	Take Down	Bulbasaur, Ivysaur, Venusaur, Growlithe, Arcanine, Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Rhyhorn, Rhydon, Eevee, Vaporeon, Jolteon, Flareon, Hoothoot, Noctowl, Chinchou, Lanturn, Espeon, Umbreon, Qwilfish, Swinub, Piloswine, Mantine, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Seedot, Barboach, Cherubi, Cherrim-0, Cherrim-1, Hippopotas, Hippowdon, Mantyke, Rhyperior, Leafeon, Glaceon, Mamoswine, Roggenrola, Basculin-0, Basculin-1, Darumaka-0, Darumaka-1, Trubbish, Garbodor, Karrablast, Escavalier, Cobalion, Terrakion, Virizion, Keldeo-0, Keldeo-1, Bunnelby, Diggersby, Sylveon, Bergmite, Avalugg, Wishiwashi-0, Wishiwashi-1, Stufful, Bewear, Passimian, Type: Null, Silvally-0, Silvally-1, Silvally-2, Silvally-3, Silvally-4, Silvally-5, Silvally-6, Silvally-7, Silvally-8, Silvally-9, Silvally-10, Silvally-11, Silvally-12, Silvally-13, Silvally-14, Silvally-15, Silvally-16, Silvally-17, Wooloo, Dubwool, Obstagoon, Drakloak, Dragapult
037	Thrash	Diglett-1, Meowth-2, Growlithe, Ponyta-0, Ponyta-1, Gyarados, Piloswine, Larvitar, Pupitar, Tyranitar, Wailmer, Barboach, Whiscash, Mamoswine, Basculin-0, Basculin-1, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Cubchoo, Beartic, Rufflet, Braviary, Litten, Torracat, Incineroar, Stufful, Bewear, Passimian, Cramorant-0, Cramorant-1, Cramorant-2, Arrokuda, Perrserker, Morpeko-0, Morpeko-1
038	Double-Edge	Bulbasaur, Ivysaur, Venusaur, Meowth-2, Growlithe, Machop, Machoke, Machamp, Ponyta-0, Ponyta-1, Farfetch’d-1, Onix, Eevee, Vaporeon, Jolteon, Flareon, Snorlax, Togepi, Togetic, Sudowoodo, Espeon, Umbreon, Steelix, Swinub, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Wailmer, Corphish, Jirachi, Stunky, Bonsly, Munchlax, Hippopotas, Hippowdon, Snover, Togekiss, Leafeon, Glaceon, Basculin-0, Basculin-1, Karrablast, Escavalier, Shelmet, Sylveon, Bergmite, Avalugg, Wishiwashi-0, Wishiwashi-1, Mudbray, Stufful, Bewear, Passimian, Type: Null, Silvally-0, Silvally-1, Silvally-2, Silvally-3, Silvally-4, Silvally-5, Silvally-6, Silvally-7, Silvally-8, Silvally-9, Silvally-10, Silvally-11, Silvally-12, Silvally-13, Silvally-14, Silvally-15, Silvally-16, Silvally-17, Scorbunny, Raboot, Cinderace, Wooloo, Dubwool, Yamper, Arrokuda, Barraskewda, Obstagoon, Eiscue-0, Eiscue-1, Cufant, Drakloak, Dragapult
039	Tail Whip	Squirtle, Wartortle, Blastoise, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Vulpix-0, Vulpix-1, Ninetales-0, Ninetales-1, Meowth-0, Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Rhyhorn, Rhydon, Goldeen, Seaking, Eevee, Vaporeon, Jolteon, Flareon, Pichu, Wooper, Quagsire, Espeon, Umbreon, Zigzagoon-0, Linoone-0, Rhyperior, Leafeon, Glaceon, Basculin-0, Basculin-1, Minccino, Helioptile, Heliolisk, Sylveon, Meltan, Melmetal, Skwovet, Greedent, Nickit, Thievul, Yamper, Boltund, Morpeko-0, Morpeko-1
040	Poison Sting	Qwilfish, Roselia, Roserade, Vespiquen, Skorupi, Drapion, Croagunk, Toxicroak, Frillish, Jellicent, Joltik, Mareanie, Toxapex
041	Twineedle	
042	Pin Missile	Cloyster, Jolteon, Mew, Qwilfish, Zigzagoon-0, Zigzagoon-1, Linoone-0, Linoone-1, Roselia, Budew, Roserade, Vespiquen, Skorupi, Drapion, Maractus, Joltik, Galvantula, Ferroseed, Ferrothorn, Mareanie, Toxapex, Golisopod, Togedemaru, Obstagoon, Cursola, Pincurchin
043	Leer	Growlithe, Arcanine, Machop, Machoke, Machamp, Farfetch’d-0, Farfetch’d-1, Shellder, Cloyster, Krabby, Kingler, Gyarados, Natu, Xatu, Sneasel, Larvitar, Pupitar, Tyranitar, Zigzagoon-1, Linoone-1, Sableye, Electrike, Manectric, Corphish, Crawdaunt, Duskull, Dusclops, Snorunt, Glalie, Stunky, Skorupi, Drapion, Snover, Abomasnow, Weavile, Gallade, Dusknoir, Froslass, Pidove, Tranquill, Unfezant, Timburr, Gurdurr, Conkeldurr, Throh, Sawk, Scraggy, Scrafty, Karrablast, Escavalier, Axew, Fraxure, Haxorus, Pawniard, Bisharp, Rufflet, Braviary, Vullaby, Mandibuzz, Cobalion, Terrakion, Virizion, Keldeo-0, Keldeo-1, Bunnelby, Diggersby, Pancham, Pangoro, Espurr, Meowstic-0, Meowstic-1, Stufful, Bewear, Passimian, Jangmo-o, Hakamo-o, Kommo-o, Rookidee, Corvisquire, Corviknight, Toxtricity-0, Toxtricity-1, Clobbopus, Grapploct, Obstagoon, Sirfetch’d, Morpeko-0, Morpeko-1, Duraludon
044	Bite	Charmander, Squirtle, Wartortle, Blastoise, Meowth-0, Meowth-1, Persian-0, Persian-1, Growlithe, Arcanine, Gyarados, Eevee, Vaporeon, Jolteon, Flareon, Snorlax, Espeon, Umbreon, Sneasel, Swinub, Larvitar, Pupitar, Tyranitar, Mawile, Electrike, Manectric, Trapinch, Vibrava, Flygon, Snorunt, Glalie, Stunky, Skuntank, Munchlax, Riolu, Hippopotas, Hippowdon, Skorupi, Drapion, Leafeon, Glaceon, Froslass, Basculin-0, Basculin-1, Darumaka-0, Darumaka-1, Darmanitan-0, Darmanitan-1, Darmanitan-2, Darmanitan-3, Axew, Fraxure, Haxorus, Durant, Deino, Zweilous, Hydreigon, Sylveon, Bergmite, Avalugg, Noibat, Noivern, Litten, Torracat, Incineroar, Grubbin, Charjabug, Vikavolt, Mareanie, Toxapex, Dewpider, Araquanid, Silvally-0, Silvally-1, Silvally-2, Silvally-3, Silvally-4, Silvally-5, Silvally-6, Silvally-7, Silvally-8, Silvally-9, Silvally-10, Silvally-11, Silvally-12, Silvally-13, Silvally-14, Silvally-15, Silvally-16, Silvally-17, Skwovet, Greedent, Chewtle, Drednaw, Yamper, Boltund, Arrokuda, Barraskewda, Sizzlipede, Centiskorch, Impidimp, Morgrem, Grimmsnarl, Morpeko-0, Morpeko-1, Dracovish, Arctovish, Dreepy, Drakloak, Dragapult, Zacian-0, Zacian-1, Zamazenta-0, Zamazenta-1
045	Growl	Bulbasaur, Ivysaur, Venusaur, Charmander, Charmeleon, Charizard, Pikachu-0, Pikachu-1, Pikachu-2, Pikachu-3, Pikachu-4, Pikachu-5, Pikachu-6, Pikachu-7, Raichu-0, Raichu-1, Clefairy, Clefable, Diglett-0, Diglett-1, Dugtrio-0, Dugtrio-1, Meowth-0, Meowth-1, Meowth-2, Persian-0, Persian-1, Ponyta-0, Ponyta-1, Rapidash-0, Rapidash-1, Lapras, Eevee, Vaporeon, Jolteon, Flareon, Hoothoot, Noctowl, Togepi, Togetic, Espeon, Umbreon, Zigzagoon-0, Linoone-0, Lotad, Lombre, Ludicolo, Wingull, Pelipper, Ralts, Kirlia, Gardevoir, Mawile, Wailmer, Wailord, Togekiss, Leafeon, Glaceon, Gallade, Purrloin, Liepard, Pidove, Tranquill, Unfezant, Tympole, Palpitoad, Seismitoad, Elgyem, Beheeyem, Cubchoo, Beartic, Sylveon, Rowlet, Dartrix, Decidueye, Litten, Torracat, Incineroar, Popplio, Brionne, Primarina, Wishiwashi-0, Wishiwashi-1, Grookey, Thwackey, Rillaboom, Scorbunny, Raboot, Cinderace, Sobble, Drizzile, Inteleon, Wooloo, Dubwool, Toxel, Toxtricity-0, Toxtricity-1, Perrserker, Cufant, Copperajah
046	Roar	Vulpix-0, Vulpix-1, Growlithe, Arcanine, Electrike, Manectric, Hippopotas, Hippowdon, Deino, Zweilous, Hydreigon, Litten, Torracat, Incineroar, Mudbray, Yamper, Boltund
047	Sing	Clefairy, Clefable, Lapras, Cleffa, Minccino, Cinccino, Popplio, Brionne, Primarina, Gossifleur, Eldegoss
048	Supersonic	Butterfree, Shellder, Cloyster, Goldeen, Seaking, Hoothoot, Chinchou, Lanturn, Qwilfish, Remoraid, Mantine, Wingull, Pelipper, Vibrava, Flygon, Mantyke, Woobat, Tympole, Palpitoad, Seismitoad, Noibat, Noivern, Blipbug
049	Sonic Boom	
